"id","code","name","xendit_code","created_at","updated_at"
"00028225-f210-4160-ad50-62a383679280","JAWA_TIMUR","BPD Jawa Timur","JAWA_TIMUR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00028bd5-9f91-4299-8c01-6d81501fec88","JAWA_TIMUR_UUS","BPD Jawa Timur UUS","JAWA_TIMUR_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002a83b-ef4e-4dfc-a102-b92713b46c60","KALIMANTAN_BARAT","BPD Kalimantan Barat","KALIMANTAN_BARAT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002b19a-1879-4732-98a1-01d67e8342f5","KALIMANTAN_BARAT_UUS","BPD Kalimantan Barat UUS","KALIMANTAN_BARAT_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002b230-ffcb-4329-9f54-2baada6e3e74","KALIMANTAN_SELATAN_UUS","BPD Kalimantan Selatan UUS","KALIMANTAN_SELATAN_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002b83d-5c21-4c7c-b269-d1f2c66028c0","KALIMANTAN_TENGAH","BPD Kalimantan Tengah","KALIMANTAN_TENGAH","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002c881-e915-4b4f-af4d-11f16c51efa6","KALIMANTAN_TIMUR","BPD Kalimantan Timur","KALIMANTAN_TIMUR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002c98c-6018-4cbc-8c42-83a09a9d028a","KALIMANTAN_TIMUR_UUS","BPD Kalimantan Timur UUS","KALIMANTAN_TIMUR_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002cb9b-bcb0-4d63-9bee-27cf97e80e51","LAMPUNG","BPD Lampung","LAMPUNG","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002e84a-74e9-4cbb-a42f-08c3b1fb1691","MALUKU","BPD Maluku","MALUKU","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002e85f-3e3a-4b7d-9347-2f9162f9e522","NUSA_TENGGARA_BARAT","BPD Nusa Tenggara Barat","NUSA_TENGGARA_BARAT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002eebb-8835-48e3-a57f-2b9db2d5854e","NUSA_TENGGARA_BARAT_UUS","BPD Nusa Tenggara Barat UUS","NUSA_TENGGARA_BARAT_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
